case_id,quantity,value,unit,window,statistic,qa_status
baseline-static-t24,level_amplitude_per_roll_degree,0,m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
baseline-static-t24,observed_max_courant,0.0041304469,dimensionless,full_run,qa_metric,cycle_converged
baseline-static-t24,retained_field_window,24,s,full_run,qa_metric,cycle_converged
baseline-static-t24,roll_moment_amplitude_per_roll_degree,0,N_m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
baseline-static-t24,volume_drift,0,percent,full_run,qa_metric,cycle_converged
decay-dt-0p001,analytical_period,1.3191672361071902,s,full_run,verification_metadata,verification_only
decay-dt-0p001,cell_size,0.0125,m,full_run,verification_metadata,verification_only
decay-dt-0p001,measured_period,1.3232466650875923,s,full_run,verification_metadata,verification_only
decay-dt-0p001,runtime,349.3,s,full_run,verification_metadata,verification_only
decay-dt-0p001,timesteps,12000,count,full_run,verification_metadata,verification_only
decay-dt-0p004,analytical_period,1.3191672361071902,s,full_run,verification_metadata,verification_only
decay-dt-0p004,cell_size,0.0125,m,full_run,verification_metadata,verification_only
decay-dt-0p004,measured_period,1.3232729303349733,s,full_run,verification_metadata,verification_only
decay-dt-0p004,runtime,86.4,s,full_run,verification_metadata,verification_only
decay-dt-0p004,timesteps,3000,count,full_run,verification_metadata,verification_only
decay-mesh-cpb120,analytical_period,1.3191672361071902,s,full_run,verification_metadata,verification_only
decay-mesh-cpb120,cell_size,0.008333,m,full_run,verification_metadata,verification_only
decay-mesh-cpb120,measured_period,1.3231661248301385,s,full_run,verification_metadata,verification_only
decay-mesh-cpb120,runtime,381.3,s,full_run,verification_metadata,verification_only
decay-mesh-cpb120,timesteps,6000,count,full_run,verification_metadata,verification_only
decay-mesh-cpb160,analytical_period,1.3191672361071902,s,full_run,verification_metadata,verification_only
decay-mesh-cpb160,cell_size,0.00625,m,full_run,verification_metadata,verification_only
decay-mesh-cpb160,measured_period,1.3230890954966017,s,full_run,verification_metadata,verification_only
decay-mesh-cpb160,runtime,683.2,s,full_run,verification_metadata,verification_only
decay-mesh-cpb160,timesteps,6000,count,full_run,verification_metadata,verification_only
decay-mesh-cpb40,analytical_period,1.3191672361071902,s,full_run,verification_metadata,verification_only
decay-mesh-cpb40,cell_size,0.025,m,full_run,verification_metadata,verification_only
decay-mesh-cpb40,measured_period,1.323486593080812,s,full_run,verification_metadata,verification_only
decay-mesh-cpb40,runtime,51.7,s,full_run,verification_metadata,verification_only
decay-mesh-cpb40,timesteps,6000,count,full_run,verification_metadata,verification_only
decay-mesh-cpb60,analytical_period,1.3191672361071902,s,full_run,verification_metadata,verification_only
decay-mesh-cpb60,cell_size,0.016667,m,full_run,verification_metadata,verification_only
decay-mesh-cpb60,measured_period,1.323362239975862,s,full_run,verification_metadata,verification_only
decay-mesh-cpb60,runtime,101.8,s,full_run,verification_metadata,verification_only
decay-mesh-cpb60,timesteps,6000,count,full_run,verification_metadata,verification_only
decay-mesh-cpb80,analytical_period,1.3191672361071902,s,full_run,verification_metadata,verification_only
decay-mesh-cpb80,cell_size,0.0125,m,full_run,verification_metadata,verification_only
decay-mesh-cpb80,measured_period,1.3232746813885388,s,full_run,verification_metadata,verification_only
decay-mesh-cpb80,runtime,173.8,s,full_run,verification_metadata,verification_only
decay-mesh-cpb80,timesteps,6000,count,full_run,verification_metadata,verification_only
forced-fine-co025-pressure-t24,level_amplitude_per_roll_degree,0.221447145436172,m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-fine-co025-pressure-t24,observed_max_courant,0.32648391,dimensionless,full_run,qa_metric,cycle_converged
forced-fine-co025-pressure-t24,retained_field_window,24,s,full_run,qa_metric,cycle_converged
forced-fine-co025-pressure-t24,roll_moment_amplitude_per_roll_degree,1954397.22845642,N_m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-fine-co025-pressure-t24,volume_drift,-0.00279818740896629,percent,full_run,qa_metric,cycle_converged
forced-fine-co035-pressure-t24,force_x_N_harmonic_amplitude,179.3079018501565,N,final_three_cycles,harmonic_final_three_cycles,configured_limit_exceeded
forced-fine-co035-pressure-t24,force_x_N_maximum,4858.84416,N,last_cycle,maximum_last_cycle,configured_limit_exceeded
forced-fine-co035-pressure-t24,force_x_N_minimum,-4587.37169,N,last_cycle,minimum_last_cycle,configured_limit_exceeded
forced-fine-co035-pressure-t24,force_x_N_peak_to_peak,9446.21585,N,last_cycle,peak_to_peak_last_cycle,configured_limit_exceeded
forced-fine-co035-pressure-t24,force_y_N_harmonic_amplitude,69910.73998533697,N,final_three_cycles,harmonic_final_three_cycles,configured_limit_exceeded
forced-fine-co035-pressure-t24,force_y_N_maximum,81203.4078,N,last_cycle,maximum_last_cycle,configured_limit_exceeded
forced-fine-co035-pressure-t24,force_y_N_minimum,-80982.6343,N,last_cycle,minimum_last_cycle,configured_limit_exceeded
forced-fine-co035-pressure-t24,force_y_N_peak_to_peak,162186.04210000002,N,last_cycle,peak_to_peak_last_cycle,configured_limit_exceeded
forced-fine-co035-pressure-t24,force_z_N_harmonic_amplitude,28.215113957765723,N,final_three_cycles,harmonic_final_three_cycles,configured_limit_exceeded
forced-fine-co035-pressure-t24,force_z_N_maximum,-12401978.8,N,last_cycle,maximum_last_cycle,configured_limit_exceeded
forced-fine-co035-pressure-t24,force_z_N_minimum,-12419360.6,N,last_cycle,minimum_last_cycle,configured_limit_exceeded
forced-fine-co035-pressure-t24,force_z_N_peak_to_peak,17381.799999998882,N,last_cycle,peak_to_peak_last_cycle,configured_limit_exceeded
forced-fine-co035-pressure-t24,moment_x_Nm_harmonic_amplitude,9791356.160723904,N_m,final_three_cycles,harmonic_final_three_cycles,configured_limit_exceeded
forced-fine-co035-pressure-t24,moment_x_Nm_maximum,9731526.92,N_m,last_cycle,maximum_last_cycle,configured_limit_exceeded
forced-fine-co035-pressure-t24,moment_x_Nm_minimum,-9731433.6,N_m,last_cycle,minimum_last_cycle,configured_limit_exceeded
forced-fine-co035-pressure-t24,moment_x_Nm_peak_to_peak,19462960.52,N_m,last_cycle,peak_to_peak_last_cycle,configured_limit_exceeded
forced-fine-co035-pressure-t24,moment_y_Nm_harmonic_amplitude,4106.139491938857,N_m,final_three_cycles,harmonic_final_three_cycles,configured_limit_exceeded
forced-fine-co035-pressure-t24,moment_y_Nm_maximum,124222233.0,N_m,last_cycle,maximum_last_cycle,configured_limit_exceeded
forced-fine-co035-pressure-t24,moment_y_Nm_minimum,124004900.0,N_m,last_cycle,minimum_last_cycle,configured_limit_exceeded
forced-fine-co035-pressure-t24,moment_y_Nm_peak_to_peak,217333.0,N_m,last_cycle,peak_to_peak_last_cycle,configured_limit_exceeded
forced-fine-co035-pressure-t24,moment_z_Nm_harmonic_amplitude,701111.4520025817,N_m,final_three_cycles,harmonic_final_three_cycles,configured_limit_exceeded
forced-fine-co035-pressure-t24,moment_z_Nm_maximum,803858.164,N_m,last_cycle,maximum_last_cycle,configured_limit_exceeded
forced-fine-co035-pressure-t24,moment_z_Nm_minimum,-805657.198,N_m,last_cycle,minimum_last_cycle,configured_limit_exceeded
forced-fine-co035-pressure-t24,moment_z_Nm_peak_to_peak,1609515.362,N_m,last_cycle,peak_to_peak_last_cycle,configured_limit_exceeded
forced-medium-sectional-t24,left_section_roll_moment_amplitude,4838623.71391625,N_m,final_three_cycles,harmonic_amplitude,cycle_converged
forced-medium-sectional-t24,level_amplitude_per_roll_degree,0.220739712966606,m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-sectional-t24,observed_max_courant,0.31541745,dimensionless,full_run,qa_metric,cycle_converged
forced-medium-sectional-t24,retained_field_window,24,s,full_run,qa_metric,cycle_converged
forced-medium-sectional-t24,right_section_roll_moment_amplitude,4834536.29760818,N_m,final_three_cycles,harmonic_amplitude,cycle_converged
forced-medium-sectional-t24,roll_moment_amplitude_per_roll_degree,1934631.98554184,N_m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-sectional-t24,volume_drift,-0.00663769779454002,percent,full_run,qa_metric,cycle_converged
forced-medium-t16,exchange_amplitude_per_roll_degree,22.838549754681104,m3_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t16,level_amplitude_per_roll_degree,0.19032124795567584,m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t16,roll_moment_amplitude_per_roll_degree,1494722.9225757902,N_m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t18,exchange_amplitude_per_roll_degree,24.658572707723152,m3_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t18,level_amplitude_per_roll_degree,0.20548810589769295,m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t18,roll_moment_amplitude_per_roll_degree,1686625.0887207459,N_m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t20,exchange_amplitude_per_roll_degree,25.92018466489436,m3_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t20,level_amplitude_per_roll_degree,0.21600153887411966,m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t20,roll_moment_amplitude_per_roll_degree,1820605.0163104627,N_m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t21,level_amplitude_per_roll_degree,0.218820517369679,m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t21,observed_max_courant,0.36031468,dimensionless,full_run,qa_metric,cycle_converged
forced-medium-t21,retained_field_window,21,s,full_run,qa_metric,cycle_converged
forced-medium-t21,roll_moment_amplitude_per_roll_degree,1864626.66751798,N_m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t21,volume_drift,-0.00416823809134275,percent,full_run,qa_metric,cycle_converged
forced-medium-t22,exchange_amplitude_per_roll_degree,26.485027965617626,m3_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t22,level_amplitude_per_roll_degree,0.220709068648111,m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t22,observed_max_courant,0.34553355,dimensionless,full_run,qa_metric,cycle_converged
forced-medium-t22,retained_field_window,22,s,full_run,qa_metric,cycle_converged
forced-medium-t22,roll_moment_amplitude_per_roll_degree,1899576.36379539,N_m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t22,volume_drift,-0.00561039599901901,percent,full_run,qa_metric,cycle_converged
forced-medium-t23,level_amplitude_per_roll_degree,0.221187214035805,m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t23,observed_max_courant,0.33072195,dimensionless,full_run,qa_metric,cycle_converged
forced-medium-t23,retained_field_window,23,s,full_run,qa_metric,cycle_converged
forced-medium-t23,roll_moment_amplitude_per_roll_degree,1921199.46465993,N_m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t23,volume_drift,-0.00709928670985609,percent,full_run,qa_metric,cycle_converged
forced-medium-t24,exchange_amplitude_per_roll_degree,26.48920916871042,m3_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t24,level_amplitude_per_roll_degree,0.220739712966606,m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t24,observed_max_courant,0.31541745,dimensionless,full_run,qa_metric,cycle_converged
forced-medium-t24,retained_field_window,24,s,full_run,qa_metric,cycle_converged
forced-medium-t24,roll_moment_amplitude_per_roll_degree,1934631.98554184,N_m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t24,volume_drift,-0.00663769779454002,percent,full_run,qa_metric,cycle_converged
forced-medium-t25,level_amplitude_per_roll_degree,0.219462383855171,m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t25,observed_max_courant,0.29901568,dimensionless,full_run,qa_metric,cycle_converged
forced-medium-t25,retained_field_window,25,s,full_run,qa_metric,cycle_converged
forced-medium-t25,roll_moment_amplitude_per_roll_degree,1940614.07434402,N_m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t25,volume_drift,-0.00699598261868596,percent,full_run,qa_metric,cycle_converged
forced-medium-t26,exchange_amplitude_per_roll_degree,26.043707428547595,m3_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t26,level_amplitude_per_roll_degree,0.21703089523789662,m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t26,roll_moment_amplitude_per_roll_degree,1936639.2559606377,N_m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
