series_id,case_id,quantity,unit,x_quantity,x_unit,sample_count,public_location,z_over_height,label,line_dash,qa_status,source_class,source_sha256
aggregate-force-x,forced-fine-co035-pressure-t24,aggregate_force_x,N,time,s,301,aggregate_wall,,Aggregate force X,solid,configured_limit_exceeded,reviewed_time_history,ae337c378561c9c334d1b59adce7cf3772640699e75ddce1e36a6e3a692edd3a
aggregate-force-y,forced-fine-co035-pressure-t24,aggregate_force_y,N,time,s,301,aggregate_wall,,Aggregate force Y,solid,configured_limit_exceeded,reviewed_time_history,ae337c378561c9c334d1b59adce7cf3772640699e75ddce1e36a6e3a692edd3a
aggregate-force-z,forced-fine-co035-pressure-t24,aggregate_force_z,N,time,s,301,aggregate_wall,,Aggregate force Z,solid,configured_limit_exceeded,reviewed_time_history,ae337c378561c9c334d1b59adce7cf3772640699e75ddce1e36a6e3a692edd3a
aggregate-moment-x,forced-fine-co035-pressure-t24,aggregate_moment_x,N_m,time,s,301,aggregate_wall,,Aggregate moment X,solid,configured_limit_exceeded,reviewed_time_history,ae337c378561c9c334d1b59adce7cf3772640699e75ddce1e36a6e3a692edd3a
aggregate-moment-y,forced-fine-co035-pressure-t24,aggregate_moment_y,N_m,time,s,301,aggregate_wall,,Aggregate moment Y,solid,configured_limit_exceeded,reviewed_time_history,ae337c378561c9c334d1b59adce7cf3772640699e75ddce1e36a6e3a692edd3a
aggregate-moment-z,forced-fine-co035-pressure-t24,aggregate_moment_z,N_m,time,s,301,aggregate_wall,,Aggregate moment Z,solid,configured_limit_exceeded,reviewed_time_history,ae337c378561c9c334d1b59adce7cf3772640699e75ddce1e36a6e3a692edd3a
pressure-left-inner-h10,forced-fine-co035-pressure-t24,wall_pressure,Pa,time,s,301,left-inner,0.1,Pressure: left inner at 10% height,solid,configured_limit_exceeded,reviewed_time_history,f58256876d30ed00d0618b7bf3472fc8f160a5d5ab7fce865c0d018329b828d4
pressure-left-inner-h30,forced-fine-co035-pressure-t24,wall_pressure,Pa,time,s,301,left-inner,0.3,Pressure: left inner at 30% height,solid,configured_limit_exceeded,reviewed_time_history,f58256876d30ed00d0618b7bf3472fc8f160a5d5ab7fce865c0d018329b828d4
pressure-left-inner-h50,forced-fine-co035-pressure-t24,wall_pressure,Pa,time,s,301,left-inner,0.5,Pressure: left inner at 50% height,solid,configured_limit_exceeded,reviewed_time_history,f58256876d30ed00d0618b7bf3472fc8f160a5d5ab7fce865c0d018329b828d4
pressure-left-inner-h70,forced-fine-co035-pressure-t24,wall_pressure,Pa,time,s,301,left-inner,0.7,Pressure: left inner at 70% height,solid,configured_limit_exceeded,reviewed_time_history,f58256876d30ed00d0618b7bf3472fc8f160a5d5ab7fce865c0d018329b828d4
pressure-left-inner-h90,forced-fine-co035-pressure-t24,wall_pressure,Pa,time,s,301,left-inner,0.9,Pressure: left inner at 90% height,solid,configured_limit_exceeded,reviewed_time_history,f58256876d30ed00d0618b7bf3472fc8f160a5d5ab7fce865c0d018329b828d4
pressure-left-outer-h10,forced-fine-co035-pressure-t24,wall_pressure,Pa,time,s,301,left-outer,0.1,Pressure: left outer at 10% height,solid,configured_limit_exceeded,reviewed_time_history,f58256876d30ed00d0618b7bf3472fc8f160a5d5ab7fce865c0d018329b828d4
pressure-left-outer-h30,forced-fine-co035-pressure-t24,wall_pressure,Pa,time,s,301,left-outer,0.3,Pressure: left outer at 30% height,solid,configured_limit_exceeded,reviewed_time_history,f58256876d30ed00d0618b7bf3472fc8f160a5d5ab7fce865c0d018329b828d4
pressure-left-outer-h50,forced-fine-co035-pressure-t24,wall_pressure,Pa,time,s,301,left-outer,0.5,Pressure: left outer at 50% height,solid,configured_limit_exceeded,reviewed_time_history,f58256876d30ed00d0618b7bf3472fc8f160a5d5ab7fce865c0d018329b828d4
pressure-left-outer-h70,forced-fine-co035-pressure-t24,wall_pressure,Pa,time,s,301,left-outer,0.7,Pressure: left outer at 70% height,solid,configured_limit_exceeded,reviewed_time_history,f58256876d30ed00d0618b7bf3472fc8f160a5d5ab7fce865c0d018329b828d4
pressure-left-outer-h90,forced-fine-co035-pressure-t24,wall_pressure,Pa,time,s,301,left-outer,0.9,Pressure: left outer at 90% height,solid,configured_limit_exceeded,reviewed_time_history,f58256876d30ed00d0618b7bf3472fc8f160a5d5ab7fce865c0d018329b828d4
pressure-right-inner-h10,forced-fine-co035-pressure-t24,wall_pressure,Pa,time,s,301,right-inner,0.1,Pressure: right inner at 10% height,solid,configured_limit_exceeded,reviewed_time_history,f58256876d30ed00d0618b7bf3472fc8f160a5d5ab7fce865c0d018329b828d4
pressure-right-inner-h30,forced-fine-co035-pressure-t24,wall_pressure,Pa,time,s,301,right-inner,0.3,Pressure: right inner at 30% height,solid,configured_limit_exceeded,reviewed_time_history,f58256876d30ed00d0618b7bf3472fc8f160a5d5ab7fce865c0d018329b828d4
pressure-right-inner-h50,forced-fine-co035-pressure-t24,wall_pressure,Pa,time,s,301,right-inner,0.5,Pressure: right inner at 50% height,solid,configured_limit_exceeded,reviewed_time_history,f58256876d30ed00d0618b7bf3472fc8f160a5d5ab7fce865c0d018329b828d4
pressure-right-inner-h70,forced-fine-co035-pressure-t24,wall_pressure,Pa,time,s,301,right-inner,0.7,Pressure: right inner at 70% height,solid,configured_limit_exceeded,reviewed_time_history,f58256876d30ed00d0618b7bf3472fc8f160a5d5ab7fce865c0d018329b828d4
pressure-right-inner-h90,forced-fine-co035-pressure-t24,wall_pressure,Pa,time,s,301,right-inner,0.9,Pressure: right inner at 90% height,solid,configured_limit_exceeded,reviewed_time_history,f58256876d30ed00d0618b7bf3472fc8f160a5d5ab7fce865c0d018329b828d4
pressure-right-outer-h10,forced-fine-co035-pressure-t24,wall_pressure,Pa,time,s,301,right-outer,0.1,Pressure: right outer at 10% height,solid,configured_limit_exceeded,reviewed_time_history,f58256876d30ed00d0618b7bf3472fc8f160a5d5ab7fce865c0d018329b828d4
pressure-right-outer-h30,forced-fine-co035-pressure-t24,wall_pressure,Pa,time,s,301,right-outer,0.3,Pressure: right outer at 30% height,solid,configured_limit_exceeded,reviewed_time_history,f58256876d30ed00d0618b7bf3472fc8f160a5d5ab7fce865c0d018329b828d4
pressure-right-outer-h50,forced-fine-co035-pressure-t24,wall_pressure,Pa,time,s,301,right-outer,0.5,Pressure: right outer at 50% height,solid,configured_limit_exceeded,reviewed_time_history,f58256876d30ed00d0618b7bf3472fc8f160a5d5ab7fce865c0d018329b828d4
pressure-right-outer-h70,forced-fine-co035-pressure-t24,wall_pressure,Pa,time,s,301,right-outer,0.7,Pressure: right outer at 70% height,solid,configured_limit_exceeded,reviewed_time_history,f58256876d30ed00d0618b7bf3472fc8f160a5d5ab7fce865c0d018329b828d4
pressure-right-outer-h90,forced-fine-co035-pressure-t24,wall_pressure,Pa,time,s,301,right-outer,0.9,Pressure: right outer at 90% height,solid,configured_limit_exceeded,reviewed_time_history,f58256876d30ed00d0618b7bf3472fc8f160a5d5ab7fce865c0d018329b828d4
